ID;Time[s];
266;0.832319;Stop bit
267;0.832336;Start bit
268;0.832345;00000001
269;0.832414;Stop bit
270;0.832432;Start bit
271;0.83244;00101100
272;0.83251;Stop bit
273;0.832527;Start bit
274;0.832536;00000010
275;0.832605;Stop bit
276;0.832623;Start bit
277;0.832631;00000000
278;0.832701;Stop bit
279;0.832718;Start bit
280;0.832727;00000000
281;0.832796;Stop bit
282;0.832814;Start bit
283;0.832822;11011111
284;0.832892;Stop bit
285;0.832909;Start bit
286;0.832918;00000011
287;0.832987;Stop bit
288;0.833005;Start bit
289;0.833013;00000000
290;0.833083;Stop bit
291;0.8331;Start bit
292;0.833109;00000000
293;0.833178;Stop bit
294;0.834133;Start bit
295;0.834142;00000001
296;0.834211;Stop bit
297;0.834229;Start bit
298;0.834237;00000010
299;0.834307;Stop bit
300;0.834324;Start bit
301;0.834333;11111101
302;0.834402;Stop bit
303;0.83442;Start bit
304;0.834429;00001010
305;0.834498;Stop bit
306;0.834515;Start bit
307;0.834524;00000001
308;0.834593;Stop bit
309;0.834611;Start bit
310;0.834619;00000001
311;0.834689;Stop bit
312;0.834706;Start bit
313;0.834715;00110000
314;0.834784;Stop bit
315;0.834802;Start bit
316;0.834811;00000010
317;0.83488;Stop bit
318;0.834897;Start bit
319;0.834906;00000000
320;0.834975;Stop bit
321;0.834993;Start bit
322;0.835001;00000000
323;0.835071;Stop bit
324;0.835089;Start bit
325;0.835097;11101000
326;0.835166;Stop bit
327;0.835184;Start bit
328;0.835193;10000101
329;0.835262;Stop bit
330;0.835279;Start bit
331;0.835288;00000000
332;0.835357;Stop bit
333;0.835375;Start bit
334;0.835383;00000000
335;0.835453;Stop bit
336;0.836408;Start bit
337;0.836417;00000001
338;0.836486;Stop bit
339;0.836503;Start bit
340;0.836512;00000010
341;0.836581;Stop bit
342;0.836599;Start bit
343;0.836607;11111101
344;0.836677;Stop bit
345;0.836695;Start bit
346;0.836703;00001010
347;0.836772;Stop bit
348;0.83679;Start bit
349;0.836799;00000001
350;0.836868;Stop bit
351;0.836885;Start bit
352;0.836894;00000001
353;0.836963;Stop bit
354;0.836981;Start bit
355;0.836989;00111100
356;0.837059;Stop bit
357;0.837077;Start bit
358;0.837085;00000010
359;0.837154;Stop bit
360;0.837172;Start bit
361;0.83718;00000000
362;0.83725;Stop bit
363;0.837267;Start bit
364;0.837276;00000000
365;0.837345;Stop bit
366;0.837363;Start bit
367;0.837371;10111100
368;0.837441;Stop bit
369;0.837458;Start bit
370;0.837467;00001101
371;0.837537;Stop bit
372;0.837554;Start bit
373;0.837562;00000000
374;0.837632;Stop bit
375;0.837649;Start bit
376;0.837658;00000000
377;0.837727;Stop bit
378;0.838682;Start bit
379;0.838691;00000001
380;0.83876;Stop bit
381;0.838778;Start bit
382;0.838786;00000010
383;0.838856;Stop bit
384;0.838873;Start bit
385;0.838882;11111101
386;0.838951;Stop bit
387;0.838969;Start bit
388;0.838977;00001010
389;0.839047;Stop bit
390;0.839064;Start bit
391;0.839073;00000001
392;0.839143;Stop bit
393;0.83916;Start bit
394;0.839168;00000001
395;0.839238;Stop bit
396;0.839255;Start bit
397;0.839264;01001000
398;0.839333;Stop bit
399;0.839351;Start bit
400;0.839359;00000010
401;0.839429;Stop bit
402;0.839446;Start bit
403;0.839455;00000000
404;0.839525;Stop bit
405;0.839542;Start bit
406;0.83955;00000000
407;0.83962;Stop bit
408;0.839637;Start bit
409;0.839646;11110111
410;0.839715;Stop bit
411;0.839733;Start bit
412;0.839741;00000111
413;0.839811;Stop bit
414;0.839828;Start bit
415;0.839837;00000000
416;0.839907;Stop bit
417;0.839924;Start bit
418;0.839932;00000000
419;0.840002;Stop bit
420;0.840957;Start bit
421;0.840965;00000001
422;0.841035;Stop bit
423;0.841052;Start bit
424;0.841061;00000010
425;0.841131;Stop bit
426;0.841148;Start bit
427;0.841156;11111101
428;0.841226;Stop bit
429;0.841243;Start bit
430;0.841252;00001010
431;0.841321;Stop bit
432;0.841339;Start bit
433;0.841347;00000001
434;0.841417;Stop bit
435;0.841434;Start bit
436;0.841443;00000001
437;0.841512;Stop bit
438;0.84153;Start bit
439;0.841538;01001100
440;0.841608;Stop bit
441;0.841625;Start bit
442;0.841634;00000010
443;0.841703;Stop bit
444;0.841721;Start bit
445;0.841729;00000000
446;0.841799;Stop bit
447;0.841816;Start bit
448;0.841825;00000000
449;0.841894;Stop bit
450;0.841912;Start bit
451;0.84192;00100111
452;0.84199;Stop bit
453;0.842007;Start bit
454;0.842016;00000011
455;0.842085;Stop bit
456;0.842103;Start bit
457;0.842112;00000000
458;0.842181;Stop bit
459;0.842198;Start bit
460;0.842207;00000000
461;0.842276;Stop bit
462;0.84324;Start bit
463;0.843249;00000001
464;0.843318;Stop bit
465;0.843336;Start bit
466;0.843344;00000010
467;0.843414;Stop bit
468;0.843432;Start bit
469;0.84344;11111101
470;0.843509;Stop bit
471;0.843527;Start bit
472;0.843535;00001010
473;0.843605;Stop bit
474;0.843622;Start bit
475;0.843631;00000001
476;0.8437;Stop bit
477;0.843718;Start bit
478;0.843726;00000001
479;0.843796;Stop bit
480;0.843813;Start bit
481;0.843822;01010000
482;0.843892;Stop bit
483;0.843909;Start bit
484;0.843917;00000010
485;0.843987;Stop bit
486;0.844004;Start bit
487;0.844013;00000000
488;0.844082;Stop bit
489;0.8441;Start bit
490;0.844108;00000000
491;0.844178;Stop bit
492;0.844195;Start bit
493;0.844204;11001100
494;0.844274;Stop bit
495;0.844291;Start bit
496;0.844299;00001100
497;0.844369;Stop bit
498;0.844386;Start bit
499;0.844395;00000000
