ID;Time[s];
1987;0.925809;00000001
1988;0.925879;Stop bit
1989;0.925897;Start bit
1990;0.925905;00000001
1991;0.925974;Stop bit
1992;0.925992;Start bit
1993;0.926001;11111100
1994;0.92607;Stop bit
1995;0.926087;Start bit
1996;0.926096;00000010
1997;0.926165;Stop bit
1998;0.926183;Start bit
1999;0.926191;00000000
2000;0.926261;Stop bit
2001;0.926279;Start bit
2002;0.926287;00000000
2003;0.926356;Stop bit
2004;0.926374;Start bit
2005;0.926382;00000000
2006;0.926452;Stop bit
2007;0.926469;Start bit
2008;0.926478;00000000
2009;0.926547;Stop bit
2010;0.926565;Start bit
2011;0.926573;00000000
2012;0.926643;Stop bit
2013;0.92666;Start bit
2014;0.926669;00000000
2015;0.926738;Stop bit
2016;0.931887;Start bit
2017;0.931895;00000001
2018;0.931965;Stop bit
2019;0.931982;Start bit
2020;0.931991;00000010
2021;0.93206;Stop bit
2022;0.932078;Start bit
2023;0.932086;11111101
2024;0.932156;Stop bit
2025;0.932173;Start bit
2026;0.932182;00001010
2027;0.932252;Stop bit
2028;0.932269;Start bit
2029;0.932277;00000000
2030;0.932347;Stop bit
2031;0.932364;Start bit
2032;0.932373;00000001
2033;0.932442;Stop bit
2034;0.93246;Start bit
2035;0.932468;00000000
2036;0.932538;Stop bit
2037;0.932555;Start bit
2038;0.932564;00000000
2039;0.932634;Stop bit
2040;0.932651;Start bit
2041;0.932659;00100100
2042;0.932729;Stop bit
2043;0.932746;Start bit
2044;0.932755;01000000
2045;0.932824;Stop bit
2046;0.932842;Start bit
2047;0.93285;10011100
2048;0.93292;Stop bit
2049;0.932937;Start bit
2050;0.932946;11110011
2051;0.933015;Stop bit
2052;0.933033;Start bit
2053;0.933041;00000100
2054;0.933111;Stop bit
2055;0.933128;Start bit
2056;0.933137;00100000
2057;0.933206;Stop bit
2058;0.934161;Start bit
2059;0.93417;00000001
2060;0.93424;Stop bit
2061;0.934257;Start bit
2062;0.934265;00000010
2063;0.934335;Stop bit
2064;0.934352;Start bit
2065;0.934361;11111101
2066;0.93443;Stop bit
2067;0.934448;Start bit
2068;0.934456;00001010
2069;0.934526;Stop bit
2070;0.934543;Start bit
2071;0.934552;00000000
2072;0.934621;Stop bit
2073;0.934639;Start bit
2074;0.934647;00000001
2075;0.934717;Stop bit
2076;0.934734;Start bit
2077;0.934743;11000000
2078;0.934812;Stop bit
2079;0.93483;Start bit
2080;0.934838;00000000
2081;0.934908;Stop bit
2082;0.934925;Start bit
2083;0.934934;00000000
2084;0.935003;Stop bit
2085;0.935021;Start bit
2086;0.935029;10000000
2087;0.935099;Stop bit
2088;0.935116;Start bit
2089;0.935125;00100000
2090;0.935194;Stop bit
2091;0.935212;Start bit
2092;0.935221;00000000
2093;0.93529;Stop bit
2094;0.935307;Start bit
2095;0.935316;00000000
2096;0.935385;Stop bit
2097;0.935403;Start bit
2098;0.935411;00000000
2099;0.935481;Stop bit
2100;0.936445;Start bit
2101;0.936453;00000001
2102;0.936522;Stop bit
2103;0.93654;Start bit
2104;0.936549;00000010
2105;0.936618;Stop bit
2106;0.936635;Start bit
2107;0.936644;11111101
2108;0.936713;Stop bit
2109;0.936731;Start bit
2110;0.936739;00001010
2111;0.936809;Stop bit
2112;0.936827;Start bit
2113;0.936835;00000000
2114;0.936904;Stop bit
2115;0.936922;Start bit
2116;0.93693;00000001
2117;0.937;Stop bit
2118;0.937017;Start bit
2119;0.937026;11000100
2120;0.937095;Stop bit
2121;0.937113;Start bit
2122;0.937121;00000000
2123;0.937191;Stop bit
2124;0.937208;Start bit
2125;0.937217;00000000
2126;0.937286;Stop bit
2127;0.937304;Start bit
2128;0.937312;10000000
2129;0.937382;Stop bit
2130;0.937399;Start bit
2131;0.937408;00000000
2132;0.937477;Stop bit
2133;0.937495;Start bit
2134;0.937503;00000000
2135;0.937573;Stop bit
2136;0.93759;Start bit
2137;0.937599;00111111
2138;0.937668;Stop bit
2139;0.937686;Start bit
2140;0.937694;00000000
2141;0.937764;Stop bit
2142;0.938728;Start bit
2143;0.938736;00000001
2144;0.938806;Stop bit
2145;0.938823;Start bit
2146;0.938832;00000010
2147;0.938901;Stop bit
2148;0.938919;Start bit
2149;0.938927;11111101
2150;0.938997;Stop bit
2151;0.939014;Start bit
2152;0.939023;00001010
2153;0.939092;Stop bit
2154;0.93911;Start bit
2155;0.939118;00000000
2156;0.939188;Stop bit
2157;0.939205;Start bit
2158;0.939214;00000001
2159;0.939283;Stop bit
2160;0.939301;Start bit
2161;0.939309;11001000
2162;0.939379;Stop bit
2163;0.939396;Start bit
2164;0.939405;00000000
2165;0.939474;Stop bit
2166;0.939492;Start bit
2167;0.9395;00000000
2168;0.93957;Stop bit
2169;0.939587;Start bit
2170;0.939596;10000000
2171;0.939665;Stop bit
2172;0.939683;Start bit
2173;0.939692;00000011
2174;0.939761;Stop bit
2175;0.939778;Start bit
2176;0.939787;01000000
2177;0.939856;Stop bit
2178;0.939874;Start bit
2179;0.939882;01000001
2180;0.939952;Stop bit
2181;0.939969;Start bit
2182;0.939978;00000000
2183;0.940047;Stop bit
2184;0.941011;Start bit
2185;0.94102;00000001
2186;0.941089;Stop bit
2187;0.941106;Start bit
2188;0.941115;00000010
2189;0.941184;Stop bit
2190;0.941202;Start bit
2191;0.94121;11111101
2192;0.94128;Stop bit
2193;0.941298;Start bit
2194;0.941306;00001010
2195;0.941375;Stop bit
2196;0.941393;Start bit
2197;0.941402;00000000
2198;0.941471;Stop bit
2199;0.941488;Start bit
2200;0.941497;00000001
2201;0.941566;Stop bit
2202;0.941584;Start bit
2203;0.941592;11001100
2204;0.941662;Stop bit
2205;0.94168;Start bit
2206;0.941688;00000000
2207;0.941757;Stop bit
2208;0.941775;Start bit
2209;0.941783;00000000
2210;0.941853;Stop bit
2211;0.94187;Start bit
2212;0.941879;10000000
2213;0.941948;Stop bit
2214;0.941966;Start bit
2215;0.941974;10111101
2216;0.942044;Stop bit
2217;0.942061;Start bit
2218;0.94207;00100101
2219;0.942139;Stop bit
2220;0.942157;Start bit
2221;0.942165;01000010
2222;0.942235;Stop bit
2223;0.942252;Start bit
2224;0.942261;00000000
2225;0.94233;Stop bit
2226;0.943294;Start bit
2227;0.943303;00000001
2228;0.943372;Stop bit
2229;0.94339;Start bit
2230;0.943398;00000010
2231;0.943468;Stop bit
2232;0.943485;Start bit
2233;0.943494;11111101
2234;0.943563;Stop bit
2235;0.943581;Start bit
2236;0.943589;00001010
2237;0.943659;Stop bit
2238;0.943676;Start bit
2239;0.943685;00000000
2240;0.943754;Stop bit
2241;0.943772;Start bit
2242;0.94378;00000001
2243;0.94385;Stop bit
2244;0.943867;Start bit
2245;0.943876;11010000
2246;0.943945;Stop bit
2247;0.943963;Start bit
2248;0.943971;00000000
2249;0.944041;Stop bit
2250;0.944058;Start bit
2251;0.944067;00000000
2252;0.944136;Stop bit
2253;0.944154;Start bit
2254;0.944162;10000000
2255;0.944232;Stop bit
2256;0.944249;Start bit
2257;0.944258;11100100
2258;0.944327;Stop bit
2259;0.944345;Start bit
2260;0.944353;00001000
2261;0.944423;Stop bit
2262;0.94444;Start bit
2263;0.944449;01001001
2264;0.944518;Stop bit
2265;0.944536;Start bit
2266;0.944545;00000000
2267;0.944614;Stop bit
2268;0.945577;Start bit
2269;0.945586;00000001
2270;0.945655;Stop bit
2271;0.945673;Start bit
2272;0.945681;00000010
2273;0.945751;Stop bit
2274;0.945769;Start bit
2275;0.945777;11111101
2276;0.945846;Stop bit
2277;0.945864;Start bit
2278;0.945873;00001010
2279;0.945942;Stop bit
2280;0.945959;Start bit
2281;0.945968;00000000
2282;0.946037;Stop bit
2283;0.946055;Start bit
2284;0.946063;00000001
2285;0.946133;Stop bit
2286;0.946151;Start bit
2287;0.946159;11010100
2288;0.946228;Stop bit
2289;0.946246;Start bit
2290;0.946254;00000000
2291;0.946324;Stop bit
2292;0.946341;Start bit
2293;0.94635;00000000
2294;0.946419;Stop bit
2295;0.946437;Start bit
2296;0.946445;10000000
2297;0.946515;Stop bit
2298;0.946532;Start bit
2299;0.946541;01110100
2300;0.94661;Stop bit
2301;0.946628;Start bit
2302;0.946636;10110000
2303;0.946706;Stop bit
2304;0.946723;Start bit
2305;0.946732;01000011
2306;0.946801;Stop bit
2307;0.946819;Start bit
2308;0.946827;00000000
2309;0.946897;Stop bit
2310;0.947852;Start bit
2311;0.94786;00000001
2312;0.94793;Stop bit
2313;0.947947;Start bit
2314;0.947956;00000010
2315;0.948025;Stop bit
2316;0.948043;Start bit
2317;0.948051;11111101
2318;0.948121;Stop bit
2319;0.948138;Start bit
2320;0.948147;00001010
2321;0.948216;Stop bit
2322;0.948234;Start bit
2323;0.948242;00000000
2324;0.948312;Stop bit
2325;0.948329;Start bit
2326;0.948338;00000001
2327;0.948407;Stop bit
2328;0.948425;Start bit
2329;0.948433;11011000
2330;0.948503;Stop bit
2331;0.94852;Start bit
2332;0.948529;00000000
2333;0.948599;Stop bit
2334;0.948616;Start bit
2335;0.948624;00000000
2336;0.948694;Stop bit
2337;0.948711;Start bit
2338;0.94872;10000000
2339;0.948789;Stop bit
2340;0.948807;Start bit
2341;0.948815;00011010
2342;0.948885;Stop bit
2343;0.948902;Start bit
2344;0.948911;11010000
2345;0.948981;Stop bit
2346;0.948998;Start bit
2347;0.949006;01000100
2348;0.949076;Stop bit
2349;0.949093;Start bit
2350;0.949102;00000000
2351;0.949171;Stop bit
2352;0.950135;Start bit
2353;0.950144;00000001
2354;0.950213;Stop bit
2355;0.950231;Start bit
2356;0.950239;00000010
2357;0.950309;Stop bit
2358;0.950326;Start bit
2359;0.950335;11111101
2360;0.950404;Stop bit
2361;0.950422;Start bit
2362;0.95043;00001010
2363;0.9505;Stop bit
2364;0.950517;Start bit
2365;0.950526;00000000
2366;0.950595;Stop bit
2367;0.950613;Start bit
2368;0.950622;00000001
2369;0.950691;Stop bit
2370;0.950708;Start bit
2371;0.950717;11011100
2372;0.950786;Stop bit
2373;0.950804;Start bit
2374;0.950812;00000000
2375;0.950882;Stop bit
2376;0.9509;Start bit
2377;0.950908;00000000
2378;0.950977;Stop bit
2379;0.950995;Start bit
2380;0.951004;10000000
2381;0.951073;Stop bit
2382;0.95109;Start bit
2383;0.951099;00000000
2384;0.951168;Stop bit
2385;0.951186;Start bit
2386;0.951194;00001000
2387;0.951264;Stop bit
2388;0.951282;Start bit
2389;0.95129;01001010
2390;0.951359;Stop bit
2391;0.951377;Start bit
2392;0.951385;00000000
2393;0.951455;Stop bit
2394;0.952418;Start bit
2395;0.952427;00000001
2396;0.952496;Stop bit
2397;0.952514;Start bit
2398;0.952522;00000010
2399;0.952592;Stop bit
2400;0.952609;Start bit
2401;0.952618;11111101
2402;0.952687;Stop bit
2403;0.952705;Start bit
2404;0.952713;00001010
2405;0.952783;Stop bit
2406;0.9528;Start bit
2407;0.952809;00000000
2408;0.952878;Stop bit
2409;0.952896;Start bit
2410;0.952904;00000001
2411;0.952974;Stop bit
2412;0.952991;Start bit
2413;0.953;11100000
2414;0.953069;Stop bit
2415;0.953087;Start bit
2416;0.953095;00000000
2417;0.953165;Stop bit
2418;0.953182;Start bit
2419;0.953191;00000000
2420;0.95326;Stop bit
2421;0.953278;Start bit
2422;0.953286;10000000
2423;0.953356;Stop bit
2424;0.953373;Start bit
2425;0.953382;00100000
2426;0.953452;Stop bit
2427;0.953469;Start bit
2428;0.953477;10100000
2429;0.953547;Stop bit
2430;0.953564;Start bit
2431;0.953573;01010100
2432;0.953642;Stop bit
2433;0.95366;Start bit
2434;0.953668;00000000
2435;0.953738;Stop bit
2436;0.954702;Start bit
2437;0.95471;00000001
2438;0.95478;Stop bit
2439;0.954797;Start bit
2440;0.954806;00000010
2441;0.954875;Stop bit
2442;0.954893;Start bit
2443;0.954901;11111101
2444;0.954971;Stop bit
2445;0.954988;Start bit
2446;0.954997;00001010
2447;0.955066;Stop bit
2448;0.955084;Start bit
2449;0.955093;00000000
2450;0.955162;Stop bit
2451;0.955179;Start bit
2452;0.955188;00000001
2453;0.955257;Stop bit
2454;0.955275;Start bit
2455;0.955283;11100100
2456;0.955353;Stop bit
2457;0.955371;Start bit
2458;0.955379;00000000
2459;0.955448;Stop bit
2460;0.955466;Start bit
2461;0.955475;00000000
2462;0.955544;Stop bit
2463;0.955561;Start bit
2464;0.95557;10000000
2465;0.955639;Stop bit
2466;0.955657;Start bit
2467;0.955665;00100000
2468;0.955735;Stop bit
2469;0.955753;Start bit
2470;0.955761;10100000
2471;0.95583;Stop bit
2472;0.955848;Start bit
2473;0.955856;01010101
2474;0.955926;Stop bit
2475;0.955943;Start bit
2476;0.955952;00000000
2477;0.956021;Stop bit
2478;0.956985;Start bit
2479;0.956993;00000001
2480;0.957063;Stop bit
2481;0.957081;Start bit
2482;0.957089;00000010
2483;0.957158;Stop bit
2484;0.957176;Start bit
2485;0.957184;11111101
2486;0.957254;Stop bit
2487;0.957271;Start bit
2488;0.95728;00001010
2489;0.957349;Stop bit
2490;0.957367;Start bit
2491;0.957375;00000000
2492;0.957445;Stop bit
2493;0.957462;Start bit
2494;0.957471;00000001
2495;0.95754;Stop bit
2496;0.957558;Start bit
2497;0.957566;11101000
2498;0.957636;Stop bit
2499;0.957653;Start bit
2500;0.957662;00000000
2501;0.957731;Stop bit
2502;0.957749;Start bit
2503;0.957757;00000000
2504;0.957827;Stop bit
2505;0.957844;Start bit
2506;0.957853;10000000
2507;0.957923;Stop bit
2508;0.95794;Start bit
2509;0.957948;01000010
2510;0.958018;Stop bit
2511;0.958035;Start bit
2512;0.958044;10100101
2513;0.958113;Stop bit
2514;0.958131;Start bit
2515;0.958139;01010110
2516;0.958209;Stop bit
2517;0.958226;Start bit
2518;0.958235;00000000
2519;0.958305;Stop bit
2520;0.959259;Start bit
2521;0.959268;00000001
2522;0.959337;Stop bit
2523;0.959355;Start bit
2524;0.959363;00000010
2525;0.959433;Stop bit
2526;0.95945;Start bit
2527;0.959459;11111101
2528;0.959529;Stop bit
2529;0.959546;Start bit
2530;0.959554;00001010
2531;0.959624;Stop bit
2532;0.959641;Start bit
2533;0.95965;00000000
2534;0.959719;Stop bit
2535;0.959737;Start bit
2536;0.959745;00000001
2537;0.959815;Stop bit
2538;0.959832;Start bit
2539;0.959841;11101100
2540;0.95991;Stop bit
2541;0.959928;Start bit
2542;0.959936;00000000
2543;0.960006;Stop bit
2544;0.960023;Start bit
2545;0.960032;00000000
2546;0.960101;Stop bit
2547;0.960119;Start bit
2548;0.960127;10000000
2549;0.960197;Stop bit
2550;0.960214;Start bit
2551;0.960223;00011000
2552;0.960292;Stop bit
2553;0.96031;Start bit
2554;0.960318;01001100
2555;0.960388;Stop bit
2556;0.960405;Start bit
2557;0.960414;01010111
2558;0.960483;Stop bit
2559;0.960501;Start bit
2560;0.960509;00000000
2561;0.960579;Stop bit
2562;0.961543;Start bit
2563;0.961552;00000001
2564;0.961621;Stop bit
2565;0.961638;Start bit
2566;0.961647;00000010
2567;0.961716;Stop bit
2568;0.961734;Start bit
2569;0.961742;11111101
2570;0.961812;Stop bit
2571;0.96183;Start bit
2572;0.961838;00001010
2573;0.961907;Stop bit
2574;0.961925;Start bit
2575;0.961933;00000000
2576;0.962003;Stop bit
2577;0.96202;Start bit
2578;0.962029;00000001
2579;0.962098;Stop bit
2580;0.962116;Start bit
2581;0.962124;11110000
2582;0.962194;Stop bit
2583;0.962211;Start bit
2584;0.96222;00000000
2585;0.962289;Stop bit
2586;0.962307;Start bit
2587;0.962315;00000000
2588;0.962385;Stop bit
2589;0.962402;Start bit
2590;0.962411;10000000
2591;0.96248;Stop bit
2592;0.962498;Start bit
2593;0.962506;00000001
2594;0.962576;Stop bit
2595;0.962593;Start bit
2596;0.962602;00000000
2597;0.962671;Stop bit
2598;0.962689;Start bit
2599;0.962697;00111111
2600;0.962767;Stop bit
2601;0.962784;Start bit
2602;0.962793;00000000
2603;0.962862;Stop bit
2604;0.963826;Start bit
2605;0.963834;00000001
2606;0.963904;Stop bit
2607;0.963921;Start bit
2608;0.96393;00000010
2609;0.964;Stop bit
2610;0.964017;Start bit
2611;0.964025;11111101
2612;0.964095;Stop bit
2613;0.964112;Start bit
2614;0.964121;00001010
2615;0.96419;Stop bit
2616;0.964208;Start bit
2617;0.964216;00000000
2618;0.964286;Stop bit
2619;0.964303;Start bit
2620;0.964312;00000001
2621;0.964382;Stop bit
2622;0.964399;Start bit
2623;0.964407;11110100
2624;0.964477;Stop bit
2625;0.964494;Start bit
2626;0.964503;00000000
2627;0.964572;Stop bit
2628;0.96459;Start bit
2629;0.964598;00000000
2630;0.964668;Stop bit
2631;0.964685;Start bit
2632;0.964694;10000000
2633;0.964763;Stop bit
2634;0.964781;Start bit
2635;0.964789;00000000
2636;0.964859;Stop bit
2637;0.964876;Start bit
2638;0.964885;00001001
2639;0.964954;Stop bit
2640;0.964972;Start bit
2641;0.96498;01000001
2642;0.96505;Stop bit
2643;0.965067;Start bit
2644;0.965076;00000000
2645;0.965145;Stop bit
2646;0.966109;Start bit
2647;0.966118;00000001
2648;0.966187;Stop bit
2649;0.966205;Start bit
2650;0.966213;00000010
2651;0.966283;Stop bit
2652;0.966301;Start bit
2653;0.966309;11111101
2654;0.966378;Stop bit
2655;0.966396;Start bit
2656;0.966404;00001010
2657;0.966474;Stop bit
2658;0.966491;Start bit
2659;0.9665;00000000
2660;0.966569;Stop bit
2661;0.966587;Start bit
2662;0.966595;00000001
2663;0.966665;Stop bit
2664;0.966683;Start bit
2665;0.966691;11111000
2666;0.96676;Stop bit
2667;0.966777;Start bit
2668;0.966786;00000000
2669;0.966855;Stop bit
2670;0.966873;Start bit
2671;0.966881;00000000
2672;0.966951;Stop bit
2673;0.966969;Start bit
2674;0.966977;10000000
2675;0.967046;Stop bit
2676;0.967064;Start bit
2677;0.967073;00111111
2678;0.967142;Stop bit
2679;0.967159;Start bit
2680;0.967168;00000011
2681;0.967237;Stop bit
2682;0.967255;Start bit
2683;0.967263;01000110
2684;0.967333;Stop bit
2685;0.967351;Start bit
2686;0.967359;00000000
2687;0.967428;Stop bit
2688;0.968392;Start bit
2689;0.968401;00000001
2690;0.96847;Stop bit
2691;0.968488;Start bit
2692;0.968496;00000010
2693;0.968566;Stop bit
2694;0.968583;Start bit
2695;0.968592;11111101
2696;0.968661;Stop bit
2697;0.968679;Start bit
2698;0.968687;00001010
2699;0.968757;Stop bit
2700;0.968774;Start bit
2701;0.968783;00000000
2702;0.968853;Stop bit
2703;0.96887;Start bit
2704;0.968878;00000001
2705;0.968948;Stop bit
2706;0.968965;Start bit
2707;0.968974;11111100
2708;0.969043;Stop bit
2709;0.969061;Start bit
2710;0.969069;00000000
2711;0.969139;Stop bit
2712;0.969156;Start bit
2713;0.969165;00000000
2714;0.969234;Stop bit
2715;0.969252;Start bit
2716;0.96926;10000000
2717;0.96933;Stop bit
2718;0.969347;Start bit
2719;0.969356;00000000
2720;0.969425;Stop bit
2721;0.969443;Start bit
2722;0.969451;00000000
2723;0.969521;Stop bit
2724;0.969538;Start bit
2725;0.969547;01001100
2726;0.969616;Stop bit
2727;0.969634;Start bit
2728;0.969642;00000000
2729;0.969712;Stop bit
2730;0.970675;Start bit
2731;0.970684;00000001
2732;0.970753;Stop bit
2733;0.970771;Start bit
2734;0.970779;00000010
2735;0.970849;Stop bit
2736;0.970866;Start bit
2737;0.970875;11111101
2738;0.970944;Stop bit
2739;0.970962;Start bit
2740;0.97097;00001010
2741;0.97104;Stop bit
2742;0.971057;Start bit
2743;0.971066;00000000
2744;0.971135;Stop bit
2745;0.971153;Start bit
2746;0.971162;00000001
2747;0.971231;Stop bit
2748;0.971248;Start bit
2749;0.971257;00000000
2750;0.971326;Stop bit
2751;0.971344;Start bit
2752;0.971352;00000001
2753;0.971422;Stop bit
2754;0.97144;Start bit
2755;0.971448;00000000
2756;0.971517;Stop bit
2757;0.971535;Start bit
2758;0.971544;10000000
2759;0.971613;Stop bit
2760;0.97163;Start bit
2761;0.971639;00010101
2762;0.971708;Stop bit
2763;0.971726;Start bit
2764;0.971734;00000000
2765;0.971804;Stop bit
2766;0.971822;Start bit
2767;0.97183;01001101
2768;0.971899;Stop bit
2769;0.971917;Start bit
2770;0.971925;00000000
2771;0.971995;Stop bit
2772;0.972959;Start bit
2773;0.972967;00000001
2774;0.973037;Stop bit
2775;0.973054;Start bit
2776;0.973063;00000010
2777;0.973132;Stop bit
2778;0.97315;Start bit
2779;0.973158;11111101
2780;0.973228;Stop bit
2781;0.973245;Start bit
2782;0.973254;00001010
2783;0.973324;Stop bit
2784;0.973341;Start bit
2785;0.973349;00000000
2786;0.973419;Stop bit
2787;0.973436;Start bit
2788;0.973445;00000001
2789;0.973514;Stop bit
2790;0.973532;Start bit
2791;0.97354;00000100
2792;0.97361;Stop bit
2793;0.973627;Start bit
2794;0.973636;00000001
2795;0.973706;Stop bit
2796;0.973723;Start bit
2797;0.973731;00000000
2798;0.973801;Stop bit
2799;0.973818;Start bit
2800;0.973827;10000000
2801;0.973896;Stop bit
2802;0.973914;Start bit
2803;0.973922;00101011
2804;0.973992;Stop bit
2805;0.974009;Start bit
2806;0.974018;00000000
2807;0.974087;Stop bit
2808;0.974105;Start bit
2809;0.974113;01001110
2810;0.974183;Stop bit
2811;0.9742;Start bit
2812;0.974209;00000000
2813;0.974278;Stop bit
2814;0.975242;Start bit
2815;0.97525;00000001
2816;0.97532;Stop bit
2817;0.975337;Start bit
2818;0.975346;00000010
2819;0.975415;Stop bit
2820;0.975433;Start bit
2821;0.975441;11111101
2822;0.975511;Stop bit
2823;0.975528;Start bit
2824;0.975537;00001010
2825;0.975606;Stop bit
2826;0.975624;Start bit
2827;0.975632;00000000
2828;0.975702;Stop bit
2829;0.975719;Start bit
2830;0.975728;00000001
2831;0.975797;Stop bit
2832;0.975815;Start bit
2833;0.975823;00001000
2834;0.975893;Stop bit
2835;0.97591;Start bit
2836;0.975919;00000001
2837;0.975988;Stop bit
2838;0.976006;Start bit
2839;0.976015;00000000
2840;0.976084;Stop bit
2841;0.976101;Start bit
2842;0.97611;10000000
2843;0.976179;Stop bit
2844;0.976197;Start bit
2845;0.976205;01000010
2846;0.976275;Stop bit
2847;0.976293;Start bit
2848;0.976301;00000000
2849;0.97637;Stop bit
2850;0.976388;Start bit
2851;0.976397;01001111
2852;0.976466;Stop bit
2853;0.976483;Start bit
2854;0.976492;00000000
2855;0.976561;Stop bit
2856;0.977525;Start bit
2857;0.977534;00000001
2858;0.977603;Stop bit
2859;0.977621;Start bit
2860;0.977629;00000010
2861;0.977699;Stop bit
2862;0.977716;Start bit
2863;0.977725;11111101
2864;0.977795;Stop bit
2865;0.977812;Start bit
2866;0.97782;00001010
2867;0.97789;Stop bit
2868;0.977907;Start bit
2869;0.977916;00000000
2870;0.977985;Stop bit
2871;0.978003;Start bit
2872;0.978011;00000001
2873;0.978081;Stop bit
2874;0.978098;Start bit
2875;0.978107;00001100
2876;0.978177;Stop bit
2877;0.978194;Start bit
2878;0.978202;00000001
2879;0.978272;Stop bit
2880;0.978289;Start bit
2881;0.978298;00000000
2882;0.978367;Stop bit
2883;0.978385;Start bit
2884;0.978393;10000000
2885;0.978463;Stop bit
2886;0.97848;Start bit
2887;0.978489;01011010
2888;0.978558;Stop bit
2889;0.978576;Start bit
2890;0.978584;00000000
2891;0.978654;Stop bit
2892;0.978671;Start bit
2893;0.97868;01010000
2894;0.978749;Stop bit
2895;0.978767;Start bit
2896;0.978775;00000000
2897;0.978845;Stop bit
2898;0.979808;Start bit
2899;0.979817;00000001
2900;0.979886;Stop bit
2901;0.979904;Start bit
2902;0.979912;00000010
2903;0.979982;Stop bit
2904;0.979999;Start bit
2905;0.980008;11111101
2906;0.980077;Stop bit
2907;0.980095;Start bit
2908;0.980103;00001010
2909;0.980173;Stop bit
2910;0.98019;Start bit
2911;0.980199;00000000
2912;0.980268;Stop bit
2913;0.980286;Start bit
2914;0.980294;00000001
2915;0.980364;Stop bit
2916;0.980381;Start bit
2917;0.98039;00010000
2918;0.980459;Stop bit
2919;0.980477;Start bit
2920;0.980486;00000001
2921;0.980555;Stop bit
2922;0.980572;Start bit
2923;0.980581;00000000
2924;0.98065;Stop bit
2925;0.980668;Start bit
2926;0.980676;10000000
2927;0.980746;Stop bit
2928;0.980764;Start bit
2929;0.980772;01110011
2930;0.980841;Stop bit
2931;0.980859;Start bit
2932;0.980868;00000000
2933;0.980937;Stop bit
2934;0.980954;Start bit
2935;0.980963;01010001
2936;0.981032;Stop bit
2937;0.98105;Start bit
2938;0.981058;00000000
2939;0.981128;Stop bit
2940;0.982092;Start bit
2941;0.9821;00000001
2942;0.98217;Stop bit
2943;0.982187;Start bit
2944;0.982196;00000010
2945;0.982265;Stop bit
2946;0.982283;Start bit
2947;0.982291;11111101
2948;0.982361;Stop bit
2949;0.982378;Start bit
2950;0.982387;00001010
2951;0.982456;Stop bit
2952;0.982474;Start bit
2953;0.982482;00000000
2954;0.982552;Stop bit
2955;0.982569;Start bit
2956;0.982578;00000001
2957;0.982648;Stop bit
2958;0.982665;Start bit
2959;0.982673;00010100
2960;0.982743;Stop bit
2961;0.98276;Start bit
2962;0.982769;00000001
2963;0.982838;Stop bit
2964;0.982856;Start bit
2965;0.982864;00000000
2966;0.982934;Stop bit
2967;0.982951;Start bit
2968;0.98296;10000000
2969;0.98303;Stop bit
2970;0.983047;Start bit
2971;0.983055;10001101
2972;0.983125;Stop bit
2973;0.983142;Start bit
2974;0.983151;00000000
2975;0.98322;Stop bit
2976;0.983238;Start bit
2977;0.983246;01010010
2978;0.983316;Stop bit
2979;0.983333;Start bit
2980;0.983342;00000000
2981;0.983411;Stop bit
2982;0.984375;Start bit
2983;0.984383;00000001
2984;0.984453;Stop bit
2985;0.98447;Start bit
2986;0.984479;00000010
2987;0.984548;Stop bit
2988;0.984566;Start bit
2989;0.984574;11111101
2990;0.984644;Stop bit
2991;0.984661;Start bit
2992;0.98467;00001010
2993;0.984739;Stop bit
2994;0.984757;Start bit
2995;0.984765;00000000
2996;0.984835;Stop bit
2997;0.984852;Start bit
2998;0.984861;00000001
2999;0.98493;Stop bit
3000;0.984948;Start bit
3001;0.984956;00011000
3002;0.985026;Stop bit
3003;0.985043;Start bit
3004;0.985052;00000001
3005;0.985121;Stop bit
3006;0.985139;Start bit
3007;0.985147;00000000
3008;0.985217;Stop bit
3009;0.985234;Start bit
3010;0.985243;10000000
3011;0.985312;Stop bit
3012;0.98533;Start bit
3013;0.985339;10100111
3014;0.985408;Stop bit
3015;0.985425;Start bit
3016;0.985434;00000000
3017;0.985503;Stop bit
3018;0.985521;Start bit
3019;0.985529;01010011
3020;0.985599;Stop bit
3021;0.985617;Start bit
3022;0.985625;00000000
3023;0.985694;Stop bit
3024;0.986658;Start bit
3025;0.986667;00000001
3026;0.986736;Stop bit
3027;0.986754;Start bit
3028;0.986762;00000010
3029;0.986832;Stop bit
3030;0.986849;Start bit
3031;0.986858;11111101
3032;0.986927;Stop bit
3033;0.986945;Start bit
3034;0.986953;00001010
3035;0.987023;Stop bit
3036;0.98704;Start bit
3037;0.987049;00000000
3038;0.987119;Stop bit
3039;0.987136;Start bit
3040;0.987144;00000001
3041;0.987214;Stop bit
3042;0.987231;Start bit
3043;0.98724;00011100
3044;0.987309;Stop bit
3045;0.987327;Start bit
3046;0.987335;00000001
3047;0.987405;Stop bit
3048;0.987422;Start bit
3049;0.987431;00000000
3050;0.987501;Stop bit
3051;0.987518;Start bit
3052;0.987526;10000000
3053;0.987596;Stop bit
3054;0.987613;Start bit
3055;0.987622;11000100
3056;0.987691;Stop bit
3057;0.987709;Start bit
3058;0.987717;00000000
3059;0.987787;Stop bit
3060;0.987804;Start bit
3061;0.987813;01010100
3062;0.987882;Stop bit
